Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,1,chart1_20_1_seed1_StmtDelete_603.patch,6,83,1
Chart,1,chart1_20_1_seed1_StmtDelete_603.patch,7,82,0
Chart,1,chart1_20_1_seed1_StmtDelete_603.patch,8,69,1
Chart,1,chart1_20_1_seed1_StmtDelete_603.patch,9,79,1
Chart,1,chart1_20_1_seed1_StmtDelete_603.patch,10,77,1
Chart,1,chart1_20_1_seed4_StmtReplace_602_0.patch,1,88,1
Chart,1,chart1_20_1_seed4_StmtReplace_602_0.patch,2,85,0
Chart,1,chart1_20_1_seed4_StmtReplace_602_0.patch,3,73,1
Chart,1,chart1_20_1_seed4_StmtReplace_602_0.patch,4,82,1
Chart,1,chart1_20_1_seed4_StmtReplace_602_0.patch,5,76,1
Chart,1,chart1_20_1_seed4_StmtReplace_602_0.patch,6,83,1
Chart,1,chart1_20_1_seed4_StmtReplace_602_0.patch,7,82,1
Chart,1,chart1_20_1_seed4_StmtReplace_602_0.patch,8,69,2
Chart,1,chart1_20_1_seed4_StmtReplace_602_0.patch,9,79,1
Chart,1,chart1_20_1_seed4_StmtReplace_602_0.patch,10,77,1
Chart,1,chart1_20_1_seed5_StmtReplace_603_64.patch,1,88,1
Chart,1,chart1_20_1_seed5_StmtReplace_603_64.patch,2,85,0
Chart,1,chart1_20_1_seed5_StmtReplace_603_64.patch,3,73,0
Chart,1,chart1_20_1_seed5_StmtReplace_603_64.patch,4,82,1
Chart,1,chart1_20_1_seed5_StmtReplace_603_64.patch,5,76,0
Chart,1,chart1_20_1_seed5_StmtReplace_603_64.patch,6,83,1
Chart,1,chart1_20_1_seed5_StmtReplace_603_64.patch,7,82,0
Chart,1,chart1_20_1_seed5_StmtReplace_603_64.patch,8,69,1
Chart,1,chart1_20_1_seed5_StmtReplace_603_64.patch,9,79,1
Chart,1,chart1_20_1_seed5_StmtReplace_603_64.patch,10,77,1
Chart,1,chart1_20_1_seed6_StmtReplace_603_4.patch,1,88,1
Chart,1,chart1_20_1_seed6_StmtReplace_603_4.patch,2,85,0
Chart,1,chart1_20_1_seed6_StmtReplace_603_4.patch,3,73,0
Chart,1,chart1_20_1_seed6_StmtReplace_603_4.patch,4,82,1
Chart,1,chart1_20_1_seed6_StmtReplace_603_4.patch,5,76,0
Chart,1,chart1_20_1_seed6_StmtReplace_603_4.patch,6,83,1
Chart,1,chart1_20_1_seed6_StmtReplace_603_4.patch,7,82,0
Chart,1,chart1_20_1_seed6_StmtReplace_603_4.patch,8,69,1
Chart,1,chart1_20_1_seed6_StmtReplace_603_4.patch,9,79,1
Chart,1,chart1_20_1_seed6_StmtReplace_603_4.patch,10,77,1
Chart,1,chart1_20_1_seed7_StmtReplace_602_79.patch,1,88,1
Chart,1,chart1_20_1_seed7_StmtReplace_602_79.patch,2,85,0
Chart,1,chart1_20_1_seed7_StmtReplace_602_79.patch,3,73,0
Chart,1,chart1_20_1_seed7_StmtReplace_602_79.patch,4,82,1
Chart,1,chart1_20_1_seed7_StmtReplace_602_79.patch,5,76,0
Chart,1,chart1_20_1_seed7_StmtReplace_602_79.patch,6,83,1
Chart,1,chart1_20_1_seed7_StmtReplace_602_79.patch,7,82,0
Chart,1,chart1_20_1_seed7_StmtReplace_602_79.patch,8,69,1
Chart,1,chart1_20_1_seed7_StmtReplace_602_79.patch,9,79,1
Chart,1,chart1_20_1_seed7_StmtReplace_602_79.patch,10,77,1
Chart,1,chart1_20_1_seed8_StmtDelete_601.patch,1,88,1
Chart,1,chart1_20_1_seed8_StmtDelete_601.patch,2,85,0
Chart,1,chart1_20_1_seed8_StmtDelete_601.patch,3,73,0
Chart,1,chart1_20_1_seed8_StmtDelete_601.patch,4,82,1
Chart,1,chart1_20_1_seed8_StmtDelete_601.patch,5,76,0
Chart,1,chart1_20_1_seed8_StmtDelete_601.patch,6,83,1
Chart,1,chart1_20_1_seed8_StmtDelete_601.patch,7,82,0
Chart,1,chart1_20_1_seed8_StmtDelete_601.patch,8,69,1
Chart,1,chart1_20_1_seed8_StmtDelete_601.patch,9,79,1
Chart,1,chart1_20_1_seed8_StmtDelete_601.patch,10,77,1
Chart,1,chart1_20_1_seed9_StmtReplace_601_5.patch,1,88,1
Chart,1,chart1_20_1_seed9_StmtReplace_601_5.patch,2,85,0
Chart,1,chart1_20_1_seed9_StmtReplace_601_5.patch,3,73,0
Chart,1,chart1_20_1_seed9_StmtReplace_601_5.patch,4,82,1
Chart,1,chart1_20_1_seed9_StmtReplace_601_5.patch,5,76,0
Chart,1,chart1_20_1_seed9_StmtReplace_601_5.patch,6,83,1
Chart,1,chart1_20_1_seed9_StmtReplace_601_5.patch,7,82,1
Chart,1,chart1_20_1_seed9_StmtReplace_601_5.patch,8,69,1
