Project,Bug,TSSeed,NumberOfTests,NumberOfFailingTests
lang,lang60,3,159,0
lang,lang60,4,158,0
lang,lang60,5,161,2
lang,lang60,6,167,1
lang,lang60,7,156,1
lang,lang60,8,155,0
lang,lang60,9,156,0
lang,lang60,10,158,0
math,math1,1,39,2
math,math1,2,40,1
math,math1,3,38,2
math,math1,4,40,4
math,math1,5,41,1
math,math1,6,42,1
math,math1,7,40,1
math,math1,8,39,1
math,math1,9,39,5
math,math1,10,38,2
math,math33,1,18,0
math,math33,2,18,0
math,math33,3,17,0
math,math33,4,19,0
math,math33,5,18,0
math,math33,6,18,0
math,math33,7,17,0
math,math33,8,17,0
math,math33,9,17,0
math,math33,10,18,0
math,math35,1,2,1
math,math35,2,3,1
math,math35,3,3,1
math,math35,4,2,1
math,math35,5,2,0
math,math35,6,3,1
math,math35,7,2,1
math,math35,8,3,0
math,math35,9,3,1
math,math35,10,2,1
math,math41,1,18,0
math,math41,2,19,0
math,math41,3,19,0
math,math41,4,17,0
math,math41,5,16,0
math,math41,6,17,0
math,math41,7,18,0
math,math41,8,19,0
math,math41,9,18,0
math,math41,10,17,0
math,math57,1,5,0
math,math57,2,6,0
math,math57,3,5,0
math,math57,4,5,0
math,math57,5,6,0
math,math57,6,5,0
math,math57,7,5,0
math,math57,8,5,0
math,math57,9,4,0
math,math57,10,6,0
math,math59,1,142,0
math,math59,2,149,1
math,math59,3,143,0
math,math59,4,142,0
math,math59,5,143,0
math,math59,6,146,1
math,math59,7,139,0
math,math59,8,147,0
math,math59,9,144,0
math,math59,10,147,0
math,math6,1,4,0
math,math6,2,4,0
math,math6,3,5,0
math,math6,4,5,0
math,math6,5,5,0
math,math6,6,5,0
math,math6,7,4,0
math,math6,8,6,0
math,math6,9,5,0
math,math6,10,4,0
math,math63,1,136,1
math,math63,2,137,1
math,math63,3,138,1
math,math63,4,132,0
math,math63,5,139,0
math,math63,6,137,0
math,math63,7,138,1
math,math63,8,135,0
math,math63,9,136,0
math,math63,10,138,1
math,math70,1,4,1
math,math70,2,5,1
math,math70,3,4,0
math,math70,4,4,0
math,math70,5,6,0
math,math70,6,5,2
math,math70,7,3,0
math,math70,8,5,1
math,math70,9,5,1
math,math70,10,5,1
math,math71,1,5,0
math,math71,2,3,1
math,math71,3,2,0
math,math71,4,4,1
math,math71,5,4,0
math,math71,6,3,0
math,math71,7,3,1
math,math71,8,4,0
math,math71,9,3,0
math,math71,10,3,0
math,math72,1,15,0
math,math72,2,15,0
math,math72,3,14,1
math,math72,4,14,0
math,math72,5,15,0
math,math72,6,13,0
math,math72,7,13,0
math,math72,8,16,0
math,math72,9,16,1
math,math72,10,14,0
math,math74,1,7,0
math,math74,2,7,0
math,math74,3,9,0
math,math74,4,7,1
math,math74,5,8,1
math,math74,6,8,0
math,math74,7,6,0
math,math74,8,7,0
math,math74,9,6,0
math,math74,10,8,0
math,math79,1,119,0
math,math79,2,121,0
math,math79,3,121,0
math,math79,4,121,0
math,math79,5,121,0
math,math79,6,121,0
math,math79,7,121,0
math,math79,8,121,0
math,math79,9,122,0
math,math79,10,122,0
math,math88,1,16,0
math,math88,2,16,0
math,math88,3,17,0
math,math88,4,16,0
math,math88,5,16,0
math,math88,6,16,0
math,math88,7,16,0
math,math88,8,15,0
math,math88,9,17,0
math,math88,10,15,0
math,math98,1,72,0
math,math98,2,74,1
math,math98,3,76,0
math,math98,4,76,0
math,math98,5,72,0
math,math98,6,74,0
math,math98,7,72,0
math,math98,8,79,0
math,math98,9,69,0
math,math98,10,72,1
time,time11,1,31,1
time,time11,2,31,1
time,time11,3,32,1
time,time11,4,31,1
time,time11,5,32,1
time,time11,6,35,1
time,time11,7,33,1
time,time11,8,34,1
time,time11,9,34,1
time,time11,10,31,1
time,time13,1,75,0
time,time13,2,74,1
time,time13,3,82,1
time,time13,4,73,1
time,time13,5,80,1
time,time13,6,77,1
time,time13,7,79,0
time,time13,8,74,0
time,time13,9,83,0
time,time13,10,78,1
time,time3,1,83,0
time,time3,2,83,0
time,time3,3,85,0
time,time3,4,84,0
time,time3,5,78,0
