Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,3,chart3_Seed16_r_158_244.patch,1,70,0
Chart,3,chart3_Seed16_r_158_244.patch,2,71,0
Chart,3,chart3_Seed16_r_158_244.patch,3,71,0
Chart,3,chart3_Seed16_r_158_244.patch,4,68,0
Chart,3,chart3_Seed16_r_158_244.patch,5,67,0
Chart,3,chart3_Seed16_r_158_244.patch,6,69,0
Chart,3,chart3_Seed16_r_158_244.patch,7,74,0
Chart,3,chart3_Seed16_r_158_244.patch,8,70,0
Chart,3,chart3_Seed16_r_158_244.patch,9,72,0
Chart,3,chart3_Seed16_r_158_244.patch,10,69,0
Chart,3,chart3_Seed17_r_134_244.patch,1,70,0
Chart,3,chart3_Seed17_r_134_244.patch,2,71,1
Chart,3,chart3_Seed17_r_134_244.patch,3,71,0
Chart,3,chart3_Seed17_r_134_244.patch,4,68,0
Chart,3,chart3_Seed17_r_134_244.patch,5,67,0
Chart,3,chart3_Seed17_r_134_244.patch,6,69,0
Chart,3,chart3_Seed17_r_134_244.patch,7,74,0
Chart,3,chart3_Seed17_r_134_244.patch,8,70,0
Chart,3,chart3_Seed17_r_134_244.patch,9,72,0
Chart,3,chart3_Seed17_r_134_244.patch,10,69,0
Chart,3,chart3_Seed18_a_111_197.patch,1,70,0
Chart,3,chart3_Seed18_a_111_197.patch,2,71,0
Chart,3,chart3_Seed18_a_111_197.patch,3,71,0
Chart,3,chart3_Seed18_a_111_197.patch,4,68,0
Chart,3,chart3_Seed18_a_111_197.patch,5,67,0
Chart,3,chart3_Seed18_a_111_197.patch,6,69,0
Chart,3,chart3_Seed18_a_111_197.patch,7,74,0
Chart,3,chart3_Seed18_a_111_197.patch,8,70,0
Chart,3,chart3_Seed18_a_111_197.patch,9,72,0
Chart,3,chart3_Seed18_a_111_197.patch,10,69,0
Chart,3,chart3_Seed19_a_116_299.patch,1,70,0
Chart,3,chart3_Seed19_a_116_299.patch,2,71,0
Chart,3,chart3_Seed19_a_116_299.patch,3,71,0
Chart,3,chart3_Seed19_a_116_299.patch,4,68,0
Chart,3,chart3_Seed19_a_116_299.patch,5,67,0
Chart,3,chart3_Seed19_a_116_299.patch,6,69,0
Chart,3,chart3_Seed19_a_116_299.patch,7,74,0
Chart,3,chart3_Seed19_a_116_299.patch,8,70,0
Chart,3,chart3_Seed19_a_116_299.patch,9,72,0
Chart,3,chart3_Seed19_a_116_299.patch,10,69,0
Chart,3,chart3_Seed1_a_111_272.patch,1,70,0
Chart,3,chart3_Seed1_a_111_272.patch,2,71,0
Chart,3,chart3_Seed1_a_111_272.patch,3,71,0
Chart,3,chart3_Seed1_a_111_272.patch,4,68,0
Chart,3,chart3_Seed1_a_111_272.patch,5,67,0
Chart,3,chart3_Seed1_a_111_272.patch,6,69,0
Chart,3,chart3_Seed1_a_111_272.patch,7,74,0
Chart,3,chart3_Seed1_a_111_272.patch,8,70,0
Chart,3,chart3_Seed1_a_111_272.patch,9,72,0
Chart,3,chart3_Seed1_a_111_272.patch,10,69,0
Chart,3,chart3_Seed20_r_111_272.patch,1,70,1
Chart,3,chart3_Seed20_r_111_272.patch,2,71,1
Chart,3,chart3_Seed20_r_111_272.patch,3,71,1
Chart,3,chart3_Seed20_r_111_272.patch,4,68,1
Chart,3,chart3_Seed20_r_111_272.patch,5,67,1
Chart,3,chart3_Seed20_r_111_272.patch,6,69,1
Chart,3,chart3_Seed20_r_111_272.patch,7,74,1
Chart,3,chart3_Seed20_r_111_272.patch,8,70,1
Chart,3,chart3_Seed20_r_111_272.patch,9,72,1
Chart,3,chart3_Seed20_r_111_272.patch,10,69,1
Chart,3,chart3_Seed2_a_264_196.patch,1,70,0
Chart,3,chart3_Seed2_a_264_196.patch,2,71,0
Chart,3,chart3_Seed2_a_264_196.patch,3,71,1
Chart,3,chart3_Seed2_a_264_196.patch,4,68,0
Chart,3,chart3_Seed2_a_264_196.patch,5,67,0
Chart,3,chart3_Seed2_a_264_196.patch,6,69,0
Chart,3,chart3_Seed2_a_264_196.patch,7,74,0
Chart,3,chart3_Seed2_a_264_196.patch,8,70,1
Chart,3,chart3_Seed2_a_264_196.patch,9,72,0
Chart,3,chart3_Seed2_a_264_196.patch,10,69,0
Chart,3,chart3_Seed3_a_132_272.patch,1,70,0
Chart,3,chart3_Seed3_a_132_272.patch,2,71,0
Chart,3,chart3_Seed3_a_132_272.patch,3,71,0
Chart,3,chart3_Seed3_a_132_272.patch,4,68,0
Chart,3,chart3_Seed3_a_132_272.patch,5,67,0
Chart,3,chart3_Seed3_a_132_272.patch,6,69,0
Chart,3,chart3_Seed3_a_132_272.patch,7,74,0
Chart,3,chart3_Seed3_a_132_272.patch,8,70,0
Chart,3,chart3_Seed3_a_132_272.patch,9,72,0
Chart,3,chart3_Seed3_a_132_272.patch,10,69,0
Chart,3,chart3_Seed5_a_134_273.patch,1,70,0
Chart,3,chart3_Seed5_a_134_273.patch,2,71,0
Chart,3,chart3_Seed5_a_134_273.patch,3,71,0
Chart,3,chart3_Seed5_a_134_273.patch,4,68,0
Chart,3,chart3_Seed5_a_134_273.patch,5,67,0
Chart,3,chart3_Seed5_a_134_273.patch,6,69,0
Chart,3,chart3_Seed5_a_134_273.patch,7,74,0
Chart,3,chart3_Seed5_a_134_273.patch,8,70,0
Chart,3,chart3_Seed5_a_134_273.patch,9,72,0
Chart,3,chart3_Seed5_a_134_273.patch,10,69,0
Chart,3,chart3_Seed6_a_156_273.patch,1,70,0
Chart,3,chart3_Seed6_a_156_273.patch,2,71,0
Chart,3,chart3_Seed6_a_156_273.patch,3,71,0
Chart,3,chart3_Seed6_a_156_273.patch,4,68,0
Chart,3,chart3_Seed6_a_156_273.patch,5,67,0
Chart,3,chart3_Seed6_a_156_273.patch,6,69,0
Chart,3,chart3_Seed6_a_156_273.patch,7,74,0
Chart,3,chart3_Seed6_a_156_273.patch,8,70,0
Chart,3,chart3_Seed6_a_156_273.patch,9,72,0
Chart,3,chart3_Seed6_a_156_273.patch,10,69,0
Chart,3,chart3_Seed7_r_164_331.patch,1,70,0
Chart,3,chart3_Seed7_r_164_331.patch,2,71,0
Chart,3,chart3_Seed7_r_164_331.patch,3,71,0
Chart,3,chart3_Seed7_r_164_331.patch,4,68,0
Chart,3,chart3_Seed7_r_164_331.patch,5,67,0
Chart,3,chart3_Seed7_r_164_331.patch,6,69,0
Chart,3,chart3_Seed7_r_164_331.patch,7,74,0
Chart,3,chart3_Seed7_r_164_331.patch,8,70,0
Chart,3,chart3_Seed7_r_164_331.patch,9,72,0
Chart,3,chart3_Seed7_r_164_331.patch,10,69,0
Chart,3,chart3_Seed8_r_158_197.patch,1,70,0
Chart,3,chart3_Seed8_r_158_197.patch,2,71,0
Chart,3,chart3_Seed8_r_158_197.patch,3,71,0
Chart,3,chart3_Seed8_r_158_197.patch,4,68,0
Chart,3,chart3_Seed8_r_158_197.patch,5,67,0
Chart,3,chart3_Seed8_r_158_197.patch,6,69,0
Chart,3,chart3_Seed8_r_158_197.patch,7,74,0
Chart,3,chart3_Seed8_r_158_197.patch,8,70,0
Chart,3,chart3_Seed8_r_158_197.patch,9,72,0
Chart,3,chart3_Seed8_r_158_197.patch,10,69,0
Chart,3,chart3_Seed9_a_165_245.patch,1,70,0
Chart,3,chart3_Seed9_a_165_245.patch,2,71,0
Chart,3,chart3_Seed9_a_165_245.patch,3,71,0
Chart,3,chart3_Seed9_a_165_245.patch,4,68,0
Chart,3,chart3_Seed9_a_165_245.patch,5,67,0
Chart,3,chart3_Seed9_a_165_245.patch,6,69,0
Chart,3,chart3_Seed9_a_165_245.patch,7,74,0
Chart,3,chart3_Seed9_a_165_245.patch,8,70,0
Chart,3,chart3_Seed9_a_165_245.patch,9,72,0
Chart,3,chart3_Seed9_a_165_245.patch,10,69,0
Chart,5,chart5_Seed10_r_137_40.patch,1,35,0
Chart,5,chart5_Seed10_r_137_40.patch,2,37,0
Chart,5,chart5_Seed10_r_137_40.patch,3,35,0
Chart,5,chart5_Seed10_r_137_40.patch,4,37,0
Chart,5,chart5_Seed10_r_137_40.patch,5,35,0
Chart,5,chart5_Seed10_r_137_40.patch,6,37,0
Chart,5,chart5_Seed10_r_137_40.patch,7,36,0
Chart,5,chart5_Seed10_r_137_40.patch,8,37,0
Chart,5,chart5_Seed10_r_137_40.patch,9,39,0
